zpid,imgSrc,detailUrl,streetAddress,zipcode,city,state,latitude,longitude,price,dateSold,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,isShowcaseListing,datePriceChanged,priceReduction,priceChange,is_FSBA,timeOnZillow,streetName,homeDetailUrl,price_to_rent_ratio
2152877,https://photos.zillowstatic.com/fp/24f1119f11747bc75d0dd0f76136115f-p_e.jpg,/homedetails/459-Birmingham-St-Saint-Paul-MN-55106/2152877_zpid/,459 Birmingham St,55106,Saint Paul,MN,44.955196,-93.03985,340300.0,1682578800000,2.0,4.0,2074.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,349000.0,2299,False,False,RECENTLY_SOLD,340300.0,True,False,False,USD,USA,276800.0,8712.0,sqft,False,,,,,,459 Birmingham St,https://www.zillow.com/homedetails/459-Birmingham-St-Saint-Paul-MN-55106/2152877_zpid/,151.8051326663767
2036017,https://photos.zillowstatic.com/fp/fee9b80a63125f4fd863872b3b242286-p_e.jpg,/homedetails/1071-Fairmount-Ave-Saint-Paul-MN-55105/2036017_zpid/,1071 Fairmount Ave,55105,Saint Paul,MN,44.937096,-93.14539,615500.0,1682406000000,2.0,5.0,2568.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,631500.0,3476,False,False,RECENTLY_SOLD,615500.0,True,False,False,USD,USA,571200.0,6098.4,sqft,False,,,,,,1071 Fairmount Ave,https://www.zillow.com/homedetails/1071-Fairmount-Ave-Saint-Paul-MN-55105/2036017_zpid/,181.67433831990795
2090613,https://photos.zillowstatic.com/fp/01736638a0c1243cbbcc6dc53ba745d1-p_e.jpg,/homedetails/1854-Rome-Ave-Saint-Paul-MN-55116/2090613_zpid/,1854 Rome Ave,55116,Saint Paul,MN,44.913193,-93.178795,500000.0,1682406000000,3.0,3.0,2207.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,513000.0,2700,False,False,RECENTLY_SOLD,500000.0,True,False,False,USD,USA,485400.0,7405.2,sqft,False,,,,,,1854 Rome Ave,https://www.zillow.com/homedetails/1854-Rome-Ave-Saint-Paul-MN-55116/2090613_zpid/,190.0
2063631,https://photos.zillowstatic.com/fp/5bc042e891381d694b6ffe358e2e872a-p_e.jpg,/homedetails/672-Roy-St-S-Saint-Paul-MN-55116/2063631_zpid/,672 Roy St S,55116,Saint Paul,MN,44.92106,-93.168,419500.0,1682319600000,3.0,4.0,2258.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,580400.0,3251,False,False,RECENTLY_SOLD,419500.0,True,False,False,USD,USA,384400.0,7405.2,sqft,False,,,,,,672 Roy St S,https://www.zillow.com/homedetails/672-Roy-St-S-Saint-Paul-MN-55116/2063631_zpid/,178.52968317440786
2090597,https://photos.zillowstatic.com/fp/ce4e0d88388d98c4384ec6c982162da9-p_e.jpg,/homedetails/1915-Montreal-Ave-Saint-Paul-MN-55116/2090597_zpid/,1915 Montreal Ave,55116,Saint Paul,MN,44.91281,-93.18155,385000.0,1682319600000,2.0,3.0,2126.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,395100.0,2478,False,False,RECENTLY_SOLD,385000.0,True,False,False,USD,USA,346200.0,5227.2,sqft,False,,,,,,1915 Montreal Ave,https://www.zillow.com/homedetails/1915-Montreal-Ave-Saint-Paul-MN-55116/2090597_zpid/,159.44309927360774
2041946,https://photos.zillowstatic.com/fp/cdf06e8232fb57de058b7c7a9323332f-p_e.jpg,/homedetails/1254-Goodrich-Ave-Saint-Paul-MN-55105/2041946_zpid/,1254 Goodrich Ave,55105,Saint Paul,MN,44.93759,-93.153145,550000.0,1682060400000,3.0,3.0,2392.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,564700.0,3108,False,False,RECENTLY_SOLD,550000.0,True,False,False,USD,USA,503900.0,6098.4,sqft,False,,,,,,1254 Goodrich Ave,https://www.zillow.com/homedetails/1254-Goodrich-Ave-Saint-Paul-MN-55105/2041946_zpid/,181.6924066924067
2070780,https://photos.zillowstatic.com/fp/b15f7cf80f90b6e48548db1a667c802b-p_e.jpg,/homedetails/1083-Lombard-Ave-Saint-Paul-MN-55105/2070780_zpid/,1083 Lombard Ave,55105,Saint Paul,MN,44.93353,-93.145744,539071.0,1682060400000,4.0,4.0,2621.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,553500.0,3046,False,False,RECENTLY_SOLD,539071.0,True,False,False,USD,USA,438100.0,6098.4,sqft,False,,,,,,1083 Lombard Ave,https://www.zillow.com/homedetails/1083-Lombard-Ave-Saint-Paul-MN-55105/2070780_zpid/,181.71372291529875
2091007,https://photos.zillowstatic.com/fp/ad535fdbcc3c09918999365225a2951b-p_e.jpg,/homedetails/2006-Thure-Ave-Saint-Paul-MN-55116/2091007_zpid/,2006 Thure Ave,55116,Saint Paul,MN,44.90773,-93.1848,445000.0,1682060400000,2.0,3.0,2116.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,450700.0,2495,False,False,RECENTLY_SOLD,445000.0,True,False,False,USD,USA,396500.0,6098.4,sqft,False,,,,,,2006 Thure Ave,https://www.zillow.com/homedetails/2006-Thure-Ave-Saint-Paul-MN-55116/2091007_zpid/,180.64128256513027
2111088,https://photos.zillowstatic.com/fp/5980c870aecaacf3b392fa5d90bbc0c6-p_e.jpg,/homedetails/1401-Como-Ave-Saint-Paul-MN-55108/2111088_zpid/,1401 Como Ave,55108,Saint Paul,MN,44.97768,-93.15942,370000.0,1682060400000,2.0,5.0,2216.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,379900.0,2500,False,False,RECENTLY_SOLD,370000.0,True,False,False,USD,USA,314900.0,6534.0,sqft,False,,,,,,1401 Como Ave,https://www.zillow.com/homedetails/1401-Como-Ave-Saint-Paul-MN-55108/2111088_zpid/,151.96
2137420,https://photos.zillowstatic.com/fp/0593b0d15a9285e80238d5711ea8851b-p_e.jpg,/homedetails/382-Jessamine-Ave-E-Saint-Paul-MN-55130/2137420_zpid/,382 Jessamine Ave E,55130,Saint Paul,MN,44.97436,-93.0844,355000.0,1682060400000,2.0,4.0,2000.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,364500.0,2203,False,False,RECENTLY_SOLD,355000.0,True,False,False,USD,USA,319500.0,5227.2,sqft,False,1667545200000.0,,-5000.0,,,382 Jessamine Ave E,https://www.zillow.com/homedetails/382-Jessamine-Ave-E-Saint-Paul-MN-55130/2137420_zpid/,165.45619609623242
