zpid,homeStatus,dateSold,price,price_predicted,price_predicted_minus_price,ratio_price_predicted_minus_price_v_price,ratio_price_predicted_minus_price_v_price_predicted,zestimate,rentZestimate,price_minus_zestimate,annual_rentZestimate,annual_rentZestimate_v_price,annual_rentZestimate_v_price_predicted,taxAssessedValue,price_minus_taxAssessedValue,bedrooms,bathrooms,ttl_rooms,livingArea,lotAreaValue,streetAddress,city,state,zipcode,latitude,longitude,livingArea_v_ttl_rooms,livingArea_v_lotAreaValue,zestimate_v_rentZestimate,zestimate_v_taxAssessedValue,zestimate_v_ttl_rooms,zestimate_v_livingArea,zestimate_v_lotAreaValue,homeDetailUrl
1763942,RECENTLY_SOLD,2024-02-20,405000.0,390202.09210643545,-14797.907893564552,-0.03653804418164087,-0.03792370208391432,405200.0,3200.0,-200.0,38400.0,0.09481481481481481,0.09841054360499336,343000.0,62000.0,3.0,3.0,6.0,2883.0,9147.6,2600 Thomas Ave N,Minneapolis,MN,55411,45.006207,-93.31296,480.5,0.3151646333464515,126.625,1.1813411078717202,67533.33333333333,140.54804023586541,44.29577156849884,https://www.zillow.com/homedetails/2600-Thomas-Ave-N-Minneapolis-MN-55411/1763942_zpid/
1783707,RECENTLY_SOLD,2024-02-20,265000.0,263555.4278758764,-1444.5721241235733,-0.005451215562730465,-0.005481094188672549,265300.0,2800.0,-300.0,33600.0,0.12679245283018867,0.12748741420656376,287000.0,-22000.0,4.0,2.0,6.0,2012.0,5227.2,4544 Clinton Ave,Minneapolis,MN,55419,44.92017,-93.27189,335.3333333333333,0.3849097030915213,94.75,0.9243902439024391,44216.666666666664,131.85884691848906,50.753749617385985,https://www.zillow.com/homedetails/4544-Clinton-Ave-Minneapolis-MN-55419/1783707_zpid/
1851015,RECENTLY_SOLD,2024-02-16,325000.0,313201.7689027954,-11798.23109720461,-0.03630224952986034,-0.03766974605072005,325400.0,2600.0,-400.0,31200.0,0.096,0.09961629562086913,265000.0,60000.0,4.0,3.0,7.0,2280.0,6098.4,1519 Penn Ave N,Minneapolis,MN,55411,44.994606,-93.30859,325.7142857142857,0.37386855568673755,125.15384615384616,1.2279245283018867,46485.71428571428,142.71929824561403,53.35825790371245,https://www.zillow.com/homedetails/1519-Penn-Ave-N-Minneapolis-MN-55411/1851015_zpid/
1950607,RECENTLY_SOLD,2024-02-16,750000.0,710784.0810355144,-39215.91896448564,-0.05228789195264752,-0.055172759225774234,752700.0,3914.0,-2700.0,46968.0,0.062624,0.06607913887375488,689000.0,61000.0,3.0,2.0,5.0,2426.0,10018.8,444 Oliver Ave S,Minneapolis,MN,55405,44.972565,-93.307625,485.2,0.24214476783646746,192.30965763924374,1.0924528301886793,150540.0,310.26380873866447,75.12875793508205,https://www.zillow.com/homedetails/444-Oliver-Ave-S-Minneapolis-MN-55405/1950607_zpid/
1717112,RECENTLY_SOLD,2024-02-15,489500.0,477708.94522864325,-11791.05477135675,-0.02408795663198519,-0.024682507809673234,490500.0,3169.0,-1000.0,38028.0,0.07768743615934627,0.07960495690906283,457000.0,32500.0,4.0,2.0,6.0,2202.0,6098.4,3132 Colfax Ave S,Minneapolis,MN,55408,44.945408,-93.29232,367.0,0.3610783156237702,154.7806879141685,1.0733041575492341,81750.0,222.75204359673023,80.43093270365998,https://www.zillow.com/homedetails/3132-Colfax-Ave-S-Minneapolis-MN-55408/1717112_zpid/
1760770,RECENTLY_SOLD,2024-02-15,474951.0,530961.7961611613,56010.79616116127,0.11792963097490325,0.10548931498672359,476500.0,5081.0,-1549.0,60972.0,0.1283753481938137,0.11483312065166615,910000.0,-435049.0,4.0,4.0,8.0,2980.0,5662.8,4245 Abbott Ave S,Minneapolis,MN,55410,44.925415,-93.32233,372.5,0.5262414353323444,93.78075182050777,0.5236263736263737,59562.5,159.8993288590604,84.1456523274705,https://www.zillow.com/homedetails/4245-Abbott-Ave-S-Minneapolis-MN-55410/1760770_zpid/
1849170,RECENTLY_SOLD,2024-02-15,675000.0,658216.9989006775,-16783.001099322457,-0.024863705332329566,-0.025497671933955853,677700.0,3441.0,-2700.0,41292.0,0.061173333333333337,0.0627331109177732,708000.0,-33000.0,3.0,3.0,6.0,2684.0,5227.2,5025 Xerxes Ave S,Minneapolis,MN,55410,44.911648,-93.31849,447.3333333333333,0.5134680134680135,196.9485614646905,0.9572033898305085,112950.0,252.4962742175857,129.6487603305785,https://www.zillow.com/homedetails/5025-Xerxes-Ave-S-Minneapolis-MN-55410/1849170_zpid/
1830834,RECENTLY_SOLD,2024-02-14,279900.0,265361.0621658019,-14538.937834198121,-0.051943329168267674,-0.054789266049568186,280900.0,2695.0,-1000.0,32340.0,0.11554126473740621,0.12187168583080756,221000.0,58900.0,5.0,2.0,7.0,2120.0,6969.6,2511 4th St N,Minneapolis,MN,55411,45.005177,-93.28535,302.85714285714283,0.304178145087236,104.23005565862708,1.2710407239819004,40128.57142857143,132.5,40.303604224058766,https://www.zillow.com/homedetails/2511-4th-St-N-Minneapolis-MN-55411/1830834_zpid/
1887259,RECENTLY_SOLD,2024-02-09,320000.0,320120.60759418085,120.60759418085217,0.00037689873181516307,0.000376756732680413,321000.0,2500.0,-1000.0,30000.0,0.09375,0.09371467905631121,346000.0,-26000.0,4.0,2.0,6.0,2087.0,6969.6,1227 Russell Ave N,Minneapolis,MN,55411,44.990536,-93.31116,347.8333333333333,0.2994432966023875,128.4,0.9277456647398844,53500.0,153.80929563967416,46.05716253443526,https://www.zillow.com/homedetails/1227-Russell-Ave-N-Minneapolis-MN-55411/1887259_zpid/
1840084,RECENTLY_SOLD,2024-02-02,290000.0,297967.2878050059,7967.287805005908,0.027473406224158302,0.026738800301527785,292300.0,2698.0,-2300.0,32376.0,0.11164137931034483,0.1086562227635784,349000.0,-59000.0,4.0,4.0,8.0,2349.0,5662.8,1615 Girard Ave N,Minneapolis,MN,55411,44.99578,-93.29754,293.625,0.4148124602670057,108.33951074870274,0.8375358166189112,36537.5,124.43593018305663,51.61757434484707,https://www.zillow.com/homedetails/1615-Girard-Ave-N-Minneapolis-MN-55411/1840084_zpid/
1849369,RECENTLY_SOLD,2024-02-02,490000.0,507511.6380774821,17511.638077482115,0.035738036892820645,0.03450489952076449,516400.0,2999.0,-26400.0,35988.0,0.07344489795918367,0.07091068913478923,509000.0,-19000.0,4.0,3.0,7.0,2354.0,5227.2,5209 Washburn Ave S,Minneapolis,MN,55410,44.9084,-93.31721,336.2857142857143,0.45033670033670037,172.19073024341446,1.0145383104125736,73771.42857142857,219.3712829226848,98.7909397000306,https://www.zillow.com/homedetails/5209-Washburn-Ave-S-Minneapolis-MN-55410/1849369_zpid/
1884902,RECENTLY_SOLD,2024-02-02,500000.0,496457.076332171,-3542.923667829018,-0.007085847335658036,-0.007136414882036062,504000.0,2850.0,-4000.0,34200.0,0.0684,0.06888813077793127,517000.0,-17000.0,3.0,2.0,5.0,2008.0,6098.4,5523 Queen Ave S,Minneapolis,MN,55410,44.9025,-93.30956,401.6,0.32926669290305655,176.8421052631579,0.9748549323017408,100800.0,250.996015936255,82.64462809917356,https://www.zillow.com/homedetails/5523-Queen-Ave-S-Minneapolis-MN-55410/1884902_zpid/
1760685,RECENTLY_SOLD,2024-01-31,560000.0,567710.2093892898,7710.209389289841,0.013768231052303287,0.013581241382965516,564800.0,2999.0,-4800.0,35988.0,0.06426428571428572,0.06339149693769613,594000.0,-34000.0,4.0,3.0,7.0,2072.0,0.18,4140 Xerxes Ave S,Minneapolis,MN,55410,44.927258,-93.31922,296.0,11511.111111111111,188.3294431477159,0.9508417508417508,80685.71428571429,272.5868725868726,3137777.777777778,https://www.zillow.com/homedetails/4140-Xerxes-Ave-S-Minneapolis-MN-55410/1760685_zpid/
1840024,RECENTLY_SOLD,2024-01-31,332000.0,318560.83220468136,-13439.167795318644,-0.04047942107023688,-0.042187131739672645,334800.0,2500.0,-2800.0,30000.0,0.09036144578313253,0.09417353600057284,287000.0,45000.0,3.0,2.0,5.0,2432.0,9147.6,1709 Dupont Ave N,Minneapolis,MN,55411,44.99664,-93.29303,486.4,0.2658620840439022,133.92,1.1665505226480837,66960.0,137.66447368421052,36.599763872491145,https://www.zillow.com/homedetails/1709-Dupont-Ave-N-Minneapolis-MN-55411/1840024_zpid/
1912696,RECENTLY_SOLD,2024-01-31,450000.0,460808.87205979135,10808.872059791349,0.02401971568842522,0.02345630198367549,470200.0,2949.0,-20200.0,35388.0,0.07864,0.07679539641200377,476000.0,-26000.0,4.0,3.0,7.0,2515.0,6534.0,6025 14th Ave S,Minneapolis,MN,55417,44.893353,-93.25502,359.2857142857143,0.3849097030915213,159.44387928111223,0.9878151260504202,67171.42857142857,186.9582504970179,71.96204468931742,https://www.zillow.com/homedetails/6025-14th-Ave-S-Minneapolis-MN-55417/1912696_zpid/
2017399,RECENTLY_SOLD,2024-01-31,385000.0,365820.73160869954,-19179.26839130046,-0.049816281535845344,-0.052428052141712894,388300.0,3497.0,-3300.0,41964.0,0.10899740259740259,0.11471192410409049,262000.0,123000.0,5.0,3.0,8.0,3205.0,5227.2,2737 Bloomington Ave,Minneapolis,MN,55407,44.952343,-93.25206,400.625,0.6131389654116927,111.0380325993709,1.4820610687022902,48537.5,121.15444617784712,74.28451178451179,https://www.zillow.com/homedetails/2737-Bloomington-Ave-Minneapolis-MN-55407/2017399_zpid/
1887295,RECENTLY_SOLD,2024-01-30,379000.0,379492.58753904933,492.5875390493311,0.0012997032692594489,0.0012980162333174543,382400.0,3194.0,-3400.0,38328.0,0.10112928759894459,0.10099802014197733,390000.0,-11000.0,5.0,3.0,8.0,2416.0,6098.4,1008 Thomas Ave N,Minneapolis,MN,55411,44.98832,-93.31306,302.0,0.396169487078578,119.72448340638698,0.9805128205128205,47800.0,158.27814569536423,62.70497179588089,https://www.zillow.com/homedetails/1008-Thomas-Ave-N-Minneapolis-MN-55411/1887295_zpid/
1895431,RECENTLY_SOLD,2024-01-29,494000.0,489288.7181414319,-4711.28185856808,-0.009537007810866558,-0.009628838115180605,498500.0,2999.0,-4500.0,35988.0,0.0728502024291498,0.07355166523499822,533000.0,-39000.0,4.0,2.0,6.0,2400.0,6969.6,5557 Emerson Ave S,Minneapolis,MN,55419,44.901615,-93.2943,400.0,0.3443526170798898,166.2220740246749,0.9352720450281425,83083.33333333333,207.70833333333334,71.52490817263543,https://www.zillow.com/homedetails/5557-Emerson-Ave-S-Minneapolis-MN-55419/1895431_zpid/
1804936,RECENTLY_SOLD,2024-01-26,500000.0,488766.904735615,-11233.095264384989,-0.022466190528769976,-0.022982520206561902,505000.0,2600.0,-5000.0,31200.0,0.0624,0.06383410926088946,408000.0,92000.0,3.0,3.0,6.0,2371.0,6534.0,1927 Buchanan St NE,Minneapolis,MN,55418,45.00873,-93.23934,395.1666666666667,0.36287113559840833,194.23076923076923,1.2377450980392157,84166.66666666667,212.99029945170815,77.28803183348639,https://www.zillow.com/homedetails/1927-Buchanan-St-NE-Minneapolis-MN-55418/1804936_zpid/
1861176,RECENTLY_SOLD,2024-01-26,465000.0,462044.9944380368,-2955.0055619631894,-0.0063548506708885795,-0.006395493074342729,469700.0,2800.0,-4700.0,33600.0,0.07225806451612904,0.07272019046730735,463000.0,2000.0,4.0,2.0,6.0,2087.0,5227.2,5248 35th Ave S,Minneapolis,MN,55417,44.907543,-93.22196,347.8333333333333,0.3992577288031834,167.75,1.0144708423326134,78283.33333333333,225.05989458552946,89.85690235690237,https://www.zillow.com/homedetails/5248-35th-Ave-S-Minneapolis-MN-55417/1861176_zpid/
1819219,RECENTLY_SOLD,2024-01-25,580000.0,500090.4920031,-79909.5079969,-0.13777501378775864,-0.15979009654197676,543600.0,3099.0,36400.0,37188.0,0.06411724137931034,0.07436254156931557,364000.0,216000.0,3.0,2.0,5.0,2494.0,5227.2,4900 Oakland Ave,Minneapolis,MN,55417,44.914165,-93.26684,498.8,0.47711968166513624,175.41142303969022,1.4934065934065934,108720.0,217.96311146752205,103.99449035812673,https://www.zillow.com/homedetails/4900-Oakland-Ave-Minneapolis-MN-55417/1819219_zpid/
1717918,RECENTLY_SOLD,2024-01-19,650000.0,638169.349956505,-11830.650043495,-0.018201000066915385,-0.018538417810728968,657900.0,3502.0,-7900.0,42024.0,0.06465230769230769,0.0658508591847355,672000.0,-22000.0,4.0,3.0,7.0,3093.0,5227.2,3319 Humboldt Ave S,Minneapolis,MN,55408,44.94225,-93.300514,441.85714285714283,0.591712580348944,187.8640776699029,0.9790178571428572,93985.71428571429,212.70611057225995,125.86088154269973,https://www.zillow.com/homedetails/3319-Humboldt-Ave-S-Minneapolis-MN-55408/1717918_zpid/
1802998,RECENTLY_SOLD,2024-01-19,478000.0,471129.4569406477,-6870.54305935232,-0.014373521044670125,-0.01458313199936013,483800.0,2495.0,-5800.0,29940.0,0.06263598326359833,0.0635494120754411,420000.0,58000.0,4.0,2.0,6.0,2392.0,6098.4,2738 Cleveland St NE,Minneapolis,MN,55418,45.01807,-93.23109,398.6666666666667,0.392234028597665,193.90781563126254,1.151904761904762,80633.33333333333,202.25752508361205,79.33228387773843,https://www.zillow.com/homedetails/2738-Cleveland-St-NE-Minneapolis-MN-55418/1802998_zpid/
1905793,RECENTLY_SOLD,2024-01-19,500000.0,483120.0194361778,-16879.980563822202,-0.03375996112764441,-0.034939517893549266,506100.0,3099.0,-6100.0,37188.0,0.074376,0.07697466158285061,464000.0,36000.0,3.0,3.0,6.0,3045.0,10454.4,5733 Pleasant Ave,Minneapolis,MN,55419,44.89859,-93.28284,507.5,0.29126492194674014,163.3107454017425,1.0907327586206896,84350.0,166.20689655172413,48.410238751147844,https://www.zillow.com/homedetails/5733-Pleasant-Ave-Minneapolis-MN-55419/1905793_zpid/
1911728,RECENTLY_SOLD,2024-01-19,445000.0,427821.3901625527,-17178.609837447293,-0.038603617612241105,-0.04015369551980606,450400.0,2860.0,-5400.0,34320.0,0.07712359550561798,0.08022039287694324,371000.0,74000.0,3.0,2.0,5.0,2178.0,6534.0,630 58th St E,Minneapolis,MN,55417,44.898884,-93.265114,435.6,0.3333333333333333,157.4825174825175,1.2140161725067384,90080.0,206.79522497704315,68.93174165901439,https://www.zillow.com/homedetails/630-58th-St-E-Minneapolis-MN-55417/1911728_zpid/
1829102,RECENTLY_SOLD,2024-01-18,290000.0,318093.8526805765,28093.8526805765,0.09687535407095345,0.08831938260934513,321000.0,2800.0,-31000.0,33600.0,0.11586206896551725,0.10562920256664139,353000.0,-63000.0,3.0,2.0,5.0,2124.0,5662.8,4646 Nicollet Ave,Minneapolis,MN,55419,44.918034,-93.27832,424.8,0.3750794659885569,114.64285714285714,0.9093484419263456,64200.0,151.12994350282486,56.68573850392032,https://www.zillow.com/homedetails/4646-Nicollet-Ave-Minneapolis-MN-55419/1829102_zpid/
1760655,RECENTLY_SOLD,2024-01-16,600250.0,371683.8813038515,-228566.1186961485,-0.38078487079741524,-0.6149476213344204,347100.0,3566.0,253150.0,42792.0,0.07129029571012079,0.11513009348128699,601000.0,-750.0,5.0,2.0,7.0,2377.0,8712.0,4101 Abbott Ave S,Minneapolis,MN,55410,44.928547,-93.3223,339.57142857142856,0.27284205693296604,97.33595064498037,0.5775374376039933,49585.71428571428,146.02440050483804,39.84159779614325,https://www.zillow.com/homedetails/4101-Abbott-Ave-S-Minneapolis-MN-55410/1760655_zpid/
